"student_id","tutor_id","subject_id","booking_date","preferred_time","message","status","created_at"
"89","45","28","2025-02-27","18:30:00","My child struggles with this subject.","Confirmed","2025-04-06 00:00:00"
"27","27","26","2024-03-31","18:30:00","Online sessions preferred.","Pending","2024-12-01 00:00:00"
"22","42","23","2024-07-28","12:30:00","Online sessions preferred.","Cancelled","2025-02-11 00:00:00"
"13","18","25","2025-04-07","15:00:00","Need intensive coaching for board exams.","Cancelled","2024-05-04 00:00:00"
"90","17","8","2024-05-14","14:00:00","","Cancelled","2024-09-18 00:00:00"
"63","19","19","2025-01-18","12:30:00","Flexible schedule, please confirm.","Confirmed","2025-01-19 00:00:00"
"99","12","13","2024-11-19","12:30:00","Require female tutor only.","Cancelled","2024-08-15 00:00:00"
"75","1","28","2025-04-01","09:30:00","","Confirmed","2024-08-31 00:00:00"
"9","69","13","2024-06-20","15:00:00","Require female tutor only.","Pending","2025-04-29 00:00:00"
"37","44","18","2024-12-21","10:30:00","","Pending","2025-02-13 00:00:00"
"98","7","2","2024-04-20","19:30:00","I need help with exam preparation.","Pending","2024-05-20 00:00:00"
"57","59","1","2024-10-06","11:00:00","","Pending","2024-07-19 00:00:00"
"12","47","9","2024-04-12","14:00:00","I need help with exam preparation.","Confirmed","2024-08-04 00:00:00"
"93","30","14","2025-01-30","09:00:00","I need help with exam preparation.","Pending","2024-04-09 00:00:00"
"17","76","8","2024-11-21","19:30:00","I need help with exam preparation.","Pending","2024-08-23 00:00:00"
"16","55","23","2024-05-07","16:00:00","Please help with homework daily.","Confirmed","2025-03-10 00:00:00"
"14","14","11","2024-09-05","12:00:00","Flexible schedule, please confirm.","Confirmed","2025-03-21 00:00:00"
"18","19","3","2024-11-27","18:00:00","Home visit tutoring required.","Confirmed","2024-10-12 00:00:00"
"45","28","21","2025-03-19","10:30:00","Home visit tutoring required.","Confirmed","2024-06-20 00:00:00"
"12","13","5","2025-03-21","09:30:00","Prefer morning slots on weekdays.","Cancelled","2024-08-09 00:00:00"
"18","32","9","2025-01-25","09:00:00","Online sessions preferred.","Confirmed","2025-03-05 00:00:00"
"78","37","25","2025-02-17","08:30:00","Please help with homework daily.","Confirmed","2024-11-16 00:00:00"
"25","51","10","2025-01-25","08:00:00","Require female tutor only.","Confirmed","2024-07-02 00:00:00"
"64","77","3","2024-11-26","08:30:00","Prefer morning slots on weekdays.","Pending","2024-12-17 00:00:00"
"54","47","18","2025-02-13","10:30:00","","Pending","2024-12-26 00:00:00"
"9","2","9","2024-06-19","08:00:00","","Confirmed","2024-07-25 00:00:00"
"81","65","25","2024-09-29","15:30:00","Looking for weekend tutoring sessions.","Confirmed","2024-12-01 00:00:00"
"79","20","9","2024-04-12","12:00:00","Online sessions preferred.","Cancelled","2025-04-18 00:00:00"
"20","69","11","2024-09-17","18:00:00","Need intensive coaching for board exams.","Confirmed","2025-03-09 00:00:00"
"31","8","8","2024-04-14","15:00:00","Require female tutor only.","Confirmed","2024-03-29 00:00:00"
"40","23","4","2024-03-07","10:00:00","My child struggles with this subject.","Confirmed","2024-08-25 00:00:00"
"67","67","26","2025-04-26","12:00:00","Prefer morning slots on weekdays.","Pending","2025-04-04 00:00:00"
"35","16","25","2024-03-16","14:30:00","Need intensive coaching for board exams.","Confirmed","2024-07-13 00:00:00"
"92","74","21","2024-04-09","16:30:00","Online sessions preferred.","Confirmed","2024-11-11 00:00:00"
"73","22","12","2024-05-20","12:00:00","Home visit tutoring required.","Confirmed","2024-04-29 00:00:00"
"30","66","1","2024-03-23","08:00:00","I need help with exam preparation.","Confirmed","2024-09-13 00:00:00"
"20","23","30","2024-03-19","17:30:00","Please help with homework daily.","Pending","2024-09-30 00:00:00"
"93","41","9","2025-04-27","09:30:00","Looking for weekend tutoring sessions.","Confirmed","2024-03-27 00:00:00"
"23","29","26","2024-11-20","08:30:00","Looking for weekend tutoring sessions.","Cancelled","2024-07-23 00:00:00"
"100","40","11","2024-04-14","17:30:00","I need help with exam preparation.","Confirmed","2024-07-28 00:00:00"
"73","39","24","2025-01-13","11:30:00","Prefer morning slots on weekdays.","Confirmed","2024-11-08 00:00:00"
"99","26","24","2024-12-05","11:00:00","I need help with exam preparation.","Cancelled","2024-03-13 00:00:00"
"30","70","12","2025-01-20","08:30:00","I need help with exam preparation.","Confirmed","2024-09-09 00:00:00"
"95","40","4","2024-06-14","17:00:00","Flexible schedule, please confirm.","Confirmed","2024-03-31 00:00:00"
"19","36","3","2024-03-23","11:30:00","","Cancelled","2024-10-21 00:00:00"
"96","11","19","2024-04-18","17:00:00","","Cancelled","2024-04-08 00:00:00"
"76","73","2","2024-10-09","19:00:00","Please help with homework daily.","Pending","2024-08-09 00:00:00"
"51","42","11","2024-10-18","12:00:00","Looking for weekend tutoring sessions.","Cancelled","2024-05-09 00:00:00"
"100","75","4","2024-05-19","09:00:00","Require female tutor only.","Confirmed","2024-09-25 00:00:00"
"16","69","12","2025-03-30","11:30:00","Need intensive coaching for board exams.","Confirmed","2024-05-01 00:00:00"
"12","21","26","2025-02-15","12:00:00","Please help with homework daily.","Cancelled","2024-08-15 00:00:00"
"19","12","23","2024-07-06","14:30:00","Online sessions preferred.","Pending","2024-08-01 00:00:00"
"34","23","1","2024-09-24","16:00:00","Looking for weekend tutoring sessions.","Confirmed","2025-04-16 00:00:00"
"18","16","1","2024-04-01","11:00:00","Please help with homework daily.","Cancelled","2024-09-07 00:00:00"
"88","11","19","2024-12-26","12:00:00","I need help with exam preparation.","Cancelled","2024-06-10 00:00:00"
"83","57","26","2024-05-05","09:30:00","Looking for weekend tutoring sessions.","Pending","2024-10-23 00:00:00"
"7","22","30","2024-12-19","15:30:00","Require female tutor only.","Pending","2025-02-13 00:00:00"
"55","23","12","2024-06-18","10:30:00","Need intensive coaching for board exams.","Confirmed","2024-05-16 00:00:00"
"5","79","20","2025-01-10","11:30:00","Require female tutor only.","Confirmed","2024-12-07 00:00:00"
"62","8","3","2024-07-22","15:00:00","Flexible schedule, please confirm.","Pending","2025-04-13 00:00:00"
"68","32","21","2025-04-15","17:00:00","Flexible schedule, please confirm.","Confirmed","2024-08-31 00:00:00"
"62","70","26","2024-11-04","14:30:00","Flexible schedule, please confirm.","Pending","2024-03-14 00:00:00"
"41","77","8","2024-03-16","12:00:00","","Cancelled","2024-11-27 00:00:00"
"46","75","8","2024-05-21","09:00:00","","Pending","2024-11-29 00:00:00"
"95","8","25","2024-06-21","18:30:00","Prefer morning slots on weekdays.","Cancelled","2024-05-28 00:00:00"
"23","31","19","2024-08-10","14:00:00","","Confirmed","2024-12-16 00:00:00"
"73","19","19","2024-06-05","16:30:00","My child struggles with this subject.","Confirmed","2024-04-16 00:00:00"
"8","30","20","2024-06-21","08:30:00","I need help with exam preparation.","Pending","2025-01-09 00:00:00"
"26","17","11","2025-03-03","10:30:00","I need help with exam preparation.","Pending","2024-12-26 00:00:00"
"91","19","25","2024-04-26","17:30:00","Looking for weekend tutoring sessions.","Confirmed","2025-02-03 00:00:00"
"51","76","4","2024-08-20","12:30:00","My child struggles with this subject.","Cancelled","2025-03-10 00:00:00"
"56","63","21","2024-08-10","10:30:00","Please help with homework daily.","Confirmed","2025-04-22 00:00:00"
"23","49","10","2025-03-11","12:00:00","My child struggles with this subject.","Confirmed","2025-02-23 00:00:00"
"74","51","28","2025-03-30","18:00:00","My child struggles with this subject.","Confirmed","2025-04-19 00:00:00"
"79","29","21","2024-12-15","09:30:00","My child struggles with this subject.","Pending","2024-04-09 00:00:00"
"31","45","11","2024-05-25","19:00:00","","Confirmed","2025-03-09 00:00:00"
"43","58","1","2024-07-14","11:00:00","","Pending","2024-07-10 00:00:00"
"14","1","2","2024-09-14","16:30:00","My child struggles with this subject.","Cancelled","2024-11-08 00:00:00"
"49","45","18","2024-09-09","09:30:00","","Cancelled","2025-01-28 00:00:00"
"98","29","6","2024-10-18","09:00:00","Need intensive coaching for board exams.","Pending","2024-07-12 00:00:00"
"14","10","11","2024-05-27","15:00:00","","Pending","2024-04-17 00:00:00"
"44","77","20","2024-11-03","08:30:00","","Pending","2024-10-09 00:00:00"
"21","7","4","2024-08-17","11:00:00","Flexible schedule, please confirm.","Confirmed","2025-03-05 00:00:00"
"94","70","9","2025-02-02","12:30:00","Please help with homework daily.","Pending","2024-09-18 00:00:00"
"74","71","27","2024-11-07","10:00:00","Prefer morning slots on weekdays.","Pending","2024-04-14 00:00:00"
"38","77","16","2024-06-11","09:00:00","Please help with homework daily.","Pending","2024-07-28 00:00:00"
"11","61","28","2024-04-29","12:30:00","Require female tutor only.","Confirmed","2025-02-02 00:00:00"
"34","12","21","2024-12-04","15:00:00","Prefer morning slots on weekdays.","Cancelled","2024-09-06 00:00:00"
"24","58","2","2024-07-13","16:30:00","Need intensive coaching for board exams.","Pending","2024-07-16 00:00:00"
"73","8","5","2025-03-21","19:00:00","Looking for weekend tutoring sessions.","Confirmed","2025-04-18 00:00:00"
"70","53","25","2024-12-27","11:00:00","Flexible schedule, please confirm.","Cancelled","2024-10-01 00:00:00"
"69","61","19","2024-06-29","16:30:00","Looking for weekend tutoring sessions.","Confirmed","2025-03-01 00:00:00"
"5","65","19","2024-11-20","18:00:00","Looking for weekend tutoring sessions.","Cancelled","2024-10-16 00:00:00"
"23","22","7","2025-04-18","11:00:00","I need help with exam preparation.","Confirmed","2025-02-13 00:00:00"
"56","26","27","2025-01-16","10:30:00","Prefer morning slots on weekdays.","Cancelled","2025-04-18 00:00:00"
"9","12","13","2024-12-10","15:30:00","Need intensive coaching for board exams.","Confirmed","2024-03-07 00:00:00"
"90","80","19","2024-11-23","15:00:00","Flexible schedule, please confirm.","Pending","2024-12-16 00:00:00"
"76","75","25","2024-04-21","09:00:00","","Pending","2024-11-30 00:00:00"
"45","53","9","2024-09-13","19:30:00","Home visit tutoring required.","Confirmed","2024-03-20 00:00:00"
"23","36","13","2024-05-13","18:30:00","I need help with exam preparation.","Confirmed","2024-08-17 00:00:00"
