"student_id","tutor_id","match_date","status"
"1","69","2024-11-09","Closed"
"3","68","2025-02-04","Active"
"37","3","2024-10-15","Closed"
"87","56","2025-03-19","Closed"
"23","14","2024-03-21","Closed"
"31","25","2024-12-14","Closed"
"46","35","2025-03-14","Active"
"48","52","2024-09-23","Closed"
"90","29","2024-07-03","Closed"
"11","5","2024-03-19","Closed"
"49","71","2024-10-01","Active"
"2","22","2024-03-14","Closed"
"56","43","2024-11-16","Closed"
"13","68","2024-02-22","Active"
"89","73","2024-10-01","Active"
"10","36","2024-11-05","Closed"
"5","23","2025-04-11","Active"
"27","76","2024-04-14","Closed"
"92","51","2024-03-11","Active"
"73","31","2024-11-17","Closed"
"50","70","2024-07-19","Active"
"95","18","2025-03-11","Closed"
"93","11","2024-10-14","Closed"
"45","7","2024-03-22","Closed"
"10","44","2024-12-06","Closed"
"77","51","2025-03-03","Active"
"82","35","2025-03-08","Closed"
"63","30","2024-08-01","Closed"
"49","56","2024-05-06","Closed"
"85","49","2024-03-15","Closed"
"38","32","2025-01-31","Active"
"35","20","2024-08-13","Closed"
"82","20","2025-02-13","Active"
"47","14","2024-03-18","Active"
"40","57","2024-08-03","Closed"
"14","17","2024-03-16","Active"
"58","72","2024-11-11","Closed"
"14","4","2024-03-17","Active"
"12","77","2024-12-03","Closed"
"50","2","2024-06-29","Closed"
"100","11","2025-02-06","Closed"
"32","74","2024-10-24","Active"
"49","22","2024-04-12","Active"
"35","64","2024-04-15","Active"
"56","36","2024-09-03","Active"
"10","47","2024-06-08","Closed"
"93","64","2024-12-01","Closed"
"59","14","2024-04-10","Active"
"51","43","2025-04-06","Closed"
"43","57","2024-07-21","Closed"
"84","77","2024-04-10","Active"
"78","26","2024-10-03","Active"
"51","41","2024-06-29","Closed"
"82","63","2024-11-21","Closed"
"42","49","2024-06-23","Closed"
"51","47","2024-03-30","Closed"
"26","76","2024-11-06","Active"
"99","71","2024-02-14","Closed"
"60","27","2024-09-12","Closed"
"89","9","2025-03-26","Closed"
"53","64","2024-04-12","Closed"
"31","33","2025-01-03","Active"
"55","49","2024-03-09","Closed"
"77","62","2024-11-25","Closed"
"65","54","2024-11-05","Active"
"47","69","2024-12-01","Closed"
"11","14","2025-02-28","Active"
"86","46","2024-04-26","Closed"
"6","73","2024-12-27","Closed"
"52","43","2025-03-14","Closed"
"2","13","2024-06-12","Active"
"96","67","2024-11-12","Closed"
"74","29","2024-09-16","Active"
"60","76","2025-01-19","Closed"
"45","4","2024-10-05","Active"
"54","11","2024-03-31","Closed"
"94","19","2024-07-28","Active"
"59","27","2024-10-24","Closed"
"61","13","2024-09-12","Closed"
"58","41","2024-03-06","Active"
"91","15","2024-02-12","Closed"
"83","14","2025-01-12","Closed"
"95","32","2024-10-22","Active"
"21","43","2024-11-13","Closed"
"60","30","2025-03-15","Closed"
"24","24","2024-12-24","Closed"
"51","4","2025-02-12","Closed"
"26","58","2024-11-30","Closed"
"1","28","2024-05-16","Active"
"91","9","2024-11-22","Active"
"69","24","2024-08-06","Active"
"59","15","2024-06-14","Closed"
"63","68","2024-12-24","Active"
"50","79","2024-08-19","Closed"
"45","46","2025-04-08","Closed"
"23","39","2024-12-11","Closed"
"87","18","2024-07-10","Active"
"40","15","2024-05-04","Active"
"19","66","2024-08-17","Closed"
"18","74","2024-08-15","Closed"
"63","69","2025-01-21","Closed"
"23","72","2024-04-26","Closed"
"18","24","2024-07-11","Closed"
"80","7","2024-08-02","Closed"
"63","18","2024-05-10","Closed"
"72","65","2024-12-31","Closed"
"88","63","2024-08-31","Closed"
"57","63","2024-04-26","Active"
"4","29","2024-06-29","Active"
"29","69","2024-06-27","Active"
"59","73","2025-02-15","Closed"
"64","71","2024-10-19","Active"
"15","35","2025-03-03","Closed"
"47","70","2025-03-28","Closed"
"98","57","2024-11-06","Active"
"55","14","2025-02-11","Closed"
"97","32","2024-07-02","Closed"
"5","58","2024-06-14","Active"
"12","57","2024-04-01","Closed"
"31","27","2025-03-22","Closed"
