"session_id","amount","payment_date","status"
"43","651.75","2025-05-02","Paid"
"32","1666.0","2024-05-19","Pending"
"80","322.5","2025-02-10","Due"
"20","2112.0","2024-03-04","Pending"
"7","754.0","2025-05-09","Paid"
"41","1671.0","2024-11-08","Due"
"137","1576.0","2024-11-07","Paid"
"165","2947.5","2024-07-22","Paid"
"60","2904.0","2024-05-05","Paid"
"19","1582.5","2024-12-02","Paid"
"49","1388.75","2025-02-15","Pending"
"91","668.0","2025-02-21","Paid"
"4","523.0","2024-03-07","Pending"
"159","1765.5","2024-04-21","Paid"
"152","1654.0","2024-06-04","Paid"
"104","885.0","2024-10-28","Due"
"6","1102.0","2024-06-03","Paid"
"187","1038.75","2025-02-22","Pending"
"96","1433.75","2024-07-22","Paid"
"11","1177.5","2024-12-20","Pending"
"13","604.0","2025-04-16","Paid"
"3","1606.25","2024-06-09","Paid"
"185","1434.0","2024-10-29","Pending"
"39","951.25","2024-11-11","Paid"
"88","2536.5","2024-11-29","Pending"
"135","1396.0","2024-07-07","Paid"
"73","781.0","2024-09-20","Paid"
"18","367.0","2024-06-19","Pending"
"146","687.5","2024-10-17","Pending"
"172","932.0","2024-09-01","Paid"
"186","927.0","2024-03-11","Paid"
"27","1678.5","2024-06-10","Paid"
"178","2595.0","2024-05-29","Due"
"58","982.0","2024-08-14","Pending"
"129","1747.5","2024-04-10","Paid"
"50","1232.5","2025-01-18","Due"
"189","743.0","2024-10-02","Pending"
"56","1962.5","2025-05-09","Due"
"62","421.5","2024-08-23","Paid"
"48","1048.0","2025-02-27","Paid"
"160","2150.0","2024-07-17","Due"
"140","1999.0","2025-03-18","Paid"
"63","1652.5","2024-05-25","Paid"
"126","335.25","2025-03-08","Paid"
"122","457.5","2024-06-16","Paid"
"107","305.0","2024-04-02","Due"
"16","2053.5","2024-03-28","Paid"
"119","1819.5","2025-03-27","Due"
"54","612.0","2025-01-11","Paid"
"113","2176.25","2024-08-06","Paid"
"108","1910.0","2024-10-13","Pending"
"190","1002.0","2025-05-04","Paid"
"92","471.0","2024-08-14","Due"
"161","2034.0","2024-07-18","Paid"
"191","1014.0","2024-05-30","Paid"
"70","2002.5","2024-10-09","Paid"
"35","2563.5","2024-08-06","Due"
