"match_id","session_date","start_time","duration_mins","attendance"
"89","2024-06-30","08:30:00","60","Cancelled"
"3","2024-08-20","12:30:00","60","Absent"
"110","2025-02-20","19:00:00","120","Present"
"39","2025-03-16","16:30:00","60","Absent"
"78","2025-01-25","09:00:00","75","Present"
"106","2024-09-25","16:30:00","120","Present"
"102","2024-05-21","09:30:00","105","Present"
"18","2025-04-04","17:00:00","45","Present"
"107","2024-06-11","08:00:00","30","Present"
"118","2024-09-01","11:30:00","60","Absent"
"65","2024-09-20","19:00:00","105","Present"
"48","2024-11-06","18:30:00","45","Cancelled"
"61","2024-12-26","17:30:00","60","Present"
"115","2024-07-11","09:30:00","30","Present"
"21","2024-12-18","11:00:00","105","Present"
"27","2024-07-16","19:30:00","90","Present"
"100","2025-03-28","19:00:00","75","Cancelled"
"83","2024-05-28","18:00:00","45","Present"
"104","2024-08-04","19:30:00","75","Cancelled"
"110","2024-08-26","16:30:00","45","Present"
"87","2024-11-22","18:30:00","90","Present"
"66","2025-02-03","14:30:00","60","Present"
"62","2024-04-02","14:30:00","105","Present"
"36","2024-07-12","19:30:00","45","Present"
"98","2024-07-02","08:30:00","105","Present"
"18","2025-03-05","08:30:00","60","Present"
"54","2024-09-24","15:00:00","90","Absent"
"74","2025-04-22","11:30:00","105","Absent"
"88","2024-11-29","19:30:00","105","Present"
"39","2024-05-27","19:00:00","60","Present"
"17","2025-03-15","12:00:00","105","Cancelled"
"84","2024-04-15","11:30:00","45","Absent"
"40","2024-10-02","14:30:00","60","Present"
"60","2024-04-30","16:00:00","120","Present"
"75","2025-01-12","09:30:00","45","Present"
"112","2025-02-12","15:30:00","75","Present"
"110","2024-05-17","10:00:00","60","Present"
"73","2024-10-21","10:30:00","120","Absent"
"100","2024-04-11","16:30:00","105","Cancelled"
"41","2025-01-19","08:00:00","75","Present"
"98","2025-04-01","10:00:00","75","Absent"
"100","2024-04-15","10:30:00","105","Present"
"55","2024-10-31","15:00:00","30","Present"
"94","2024-09-08","08:30:00","120","Absent"
"25","2024-03-10","19:00:00","105","Absent"
"29","2025-02-19","14:30:00","45","Present"
"65","2024-12-27","12:00:00","30","Absent"
"39","2024-07-27","16:30:00","75","Cancelled"
"18","2024-08-23","16:30:00","120","Present"
"117","2025-04-20","15:00:00","45","Present"
"17","2024-06-17","08:00:00","30","Present"
"84","2025-04-10","08:30:00","105","Present"
"69","2025-01-14","08:00:00","105","Present"
"108","2024-03-11","08:00:00","75","Present"
"16","2024-12-06","12:30:00","105","Present"
"89","2025-02-15","19:00:00","60","Present"
"13","2025-02-03","17:30:00","90","Present"
"18","2024-10-01","09:00:00","60","Present"
"14","2024-11-10","11:00:00","120","Present"
"67","2024-06-12","14:30:00","60","Present"
"71","2024-11-10","11:30:00","60","Present"
