"subject_name","category_id"
"Physics","1"
"Chemistry","1"
"Biology","1"
"Zoology","1"
"Botany","1"
"Environmental Science","1"
"Fine Arts","2"
"Islamic Studies","2"
"History","2"
"Geography","2"
"Civics","2"
"Principles of Accounting","3"
"Economics","3"
"Business Studies","3"
"Statistics","3"
"Cost Accounting","3"
"Computer Science","4"
"Information Technology","4"
"Database Systems","4"
"Programming Fundamentals","4"
"Web Development","4"
"English","5"
"Urdu","5"
"Arabic","5"
"Spoken English","5"
"Essay Writing","5"
"Mathematics","6"
"Additional Mathematics","6"
"Applied Mathematics","6"
"Calculus","6"
