"tutor_id","subject_id"
"75","16"
"12","29"
"66","15"
"8","15"
"17","17"
"54","15"
"73","2"
"72","15"
"40","24"
"3","13"
"33","27"
"1","24"
"28","19"
"10","2"
"55","12"
"9","18"
"8","30"
"9","30"
"61","2"
"37","14"
"24","25"
"18","25"
"54","12"
"49","15"
"49","13"
"11","22"
"70","5"
"45","4"
"23","18"
"51","17"
"17","24"
"29","27"
"1","25"
"3","10"
"60","22"
"70","14"
"69","13"
"30","8"
"59","12"
"20","9"
"25","30"
"15","2"
"54","20"
"3","8"
"27","3"
"13","20"
"5","15"
"77","22"
"7","8"
"6","13"
"57","8"
"70","7"
"8","5"
"65","10"
"30","27"
"74","11"
"74","20"
"42","8"
"39","29"
"19","22"
"67","8"
"53","10"
"36","2"
"72","19"
"23","21"
"55","18"
"64","2"
"45","21"
"49","26"
"68","11"
"54","14"
"20","10"
"49","6"
"69","16"
"31","28"
"29","10"
"19","26"
"60","30"
"8","18"
"53","14"
"72","17"
"18","13"
"32","9"
"27","11"
"11","30"
"58","28"
"48","3"
"69","24"
"25","2"
"35","13"
"78","20"
"6","28"
"10","7"
"76","24"
"72","7"
"62","7"
"43","10"
"2","7"
"25","24"
"16","24"
"62","30"
"32","23"
"78","23"
"27","13"
"31","18"
"42","25"
"37","13"
"60","18"
"46","10"
"34","12"
"66","29"
"64","15"
"13","26"
"61","25"
"41","30"
"27","12"
"41","14"
"6","19"
"29","24"
"19","1"
"34","18"
"75","19"
"54","10"
"20","7"
"43","8"
"49","19"
"32","16"
"71","21"
"44","9"
"63","24"
"63","15"
"22","24"
"46","6"
"18","24"
"70","16"
"24","30"
"70","21"
"8","17"
"5","27"
"10","27"
"7","25"
"1","14"
"18","27"
"30","3"
"20","1"
"28","17"
"8","20"
"79","30"
"62","22"
"63","1"
